,dropout_layers,clip,batch_size,traintime,accuracy
0,1,0.01,64,119.25605058670044,0.39989998936653137
1,1,0.01,128,79.38144898414612,0.3889000117778778
2,1,0.01,256,54.23606252670288,0.3968000113964081
3,1,0.02,64,119.41945266723633,0.4327999949455261
4,1,0.02,128,75.7943344116211,0.45590001344680786
5,1,0.02,256,55.15679430961609,0.39399999380111694
6,1,0.04,64,119.15708780288696,0.4077000021934509
7,1,0.04,128,78.0678346157074,0.4433000087738037
8,1,0.04,256,54.82132649421692,0.39250001311302185
9,2,0.01,64,119.06823873519897,0.4260999858379364
10,2,0.01,128,78.65084171295166,0.4361000061035156
11,2,0.01,256,54.998708724975586,0.42579999566078186
12,2,0.02,64,118.58081150054932,0.4645000100135803
13,2,0.02,128,78.32763457298279,0.3677000105381012
14,2,0.02,256,55.24140667915344,0.41260001063346863
15,2,0.04,64,118.53638219833374,0.398499995470047
16,2,0.04,128,77.0082004070282,0.38449999690055847
17,2,0.04,256,55.35625648498535,0.38679999113082886
18,3,0.01,64,119.65484070777893,0.44040000438690186
19,3,0.01,128,78.68910717964172,0.4108999967575073
20,3,0.01,256,55.129310131073,0.3995000123977661
21,3,0.02,64,119.79642176628113,0.4090999960899353
22,3,0.02,128,78.30141067504883,0.44609999656677246
23,3,0.02,256,54.397204637527466,0.3962000012397766
24,3,0.04,64,118.77915740013123,0.40860000252723694
25,3,0.04,128,78.69949245452881,0.4020000100135803
26,3,0.04,256,54.68787145614624,0.41690000891685486
27,0,0.01,64,119.4677140712738,0.4334999918937683
28,0,0.01,128,78.91078472137451,0.43529999256134033
29,0,0.01,256,55.5615553855896,0.3379000127315521
30,0,0.02,64,119.10720419883728,0.45019999146461487
31,0,0.02,128,77.90673184394836,0.45570001006126404
32,0,0.02,256,55.24805760383606,0.41019999980926514
33,0,0.04,64,118.18543696403503,0.43380001187324524
34,0,0.04,128,77.3912341594696,0.4422000050544739
35,0,0.04,256,53.81586480140686,0.3952000141143799
